,date,rate
2,1950-09-22,5.0
3,1951-01-08,5.2
4,1951-10-17,5.0
5,1951-12-19,4.7
6,1953-04-27,4.5
7,1954-03-17,4.2
8,1955-08-04,4.0
9,1955-10-14,3.7
10,1956-04-13,3.5
11,1956-08-21,3.2
12,1957-08-06,4.0
13,1958-01-22,4.5
14,1958-04-21,5.0
15,1958-09-11,5.2
16,1959-05-18,6.0
17,1959-09-01,6.5
18,1960-08-23,7.2
19,1965-12-06,7.5
20,1966-03-10,7.7
21,1966-06-29,8.2
22,1966-08-16,8.0
23,1967-01-26,7.7
24,1967-03-27,7.5
25,1967-11-20,7.2
26,1968-04-19,7.0
27,1968-09-25,6.7
28,1968-12-02,6.5
29,1968-12-18,6.2
30,1969-01-07,6.0
31,1969-03-17,5.7
32,1969-06-09,5.5
33,1970-03-25,5.2
34,1970-09-21,5.0
35,1970-11-12,4.7
36,1970-11-23,4.5
37,1970-12-22,4.2
38,1971-01-06,4.0
39,1971-01-15,4.2
40,1971-01-18,4.7
41,1971-02-16,5.0
42,1971-03-11,5.5
43,1971-03-19,6.0
44,1971-04-23,6.5
45,1971-07-07,6.7
46,1971-10-20,7.0
47,1971-11-08,7.5
48,1971-12-17,8.0
49,1972-01-03,8.5
50,1972-01-18,9.0
51,1972-02-16,9.5
52,1972-03-20,9.0
53,1972-03-31,8.7
54,1972-06-27,8.5
55,1972-08-29,8.2
56,1972-10-03,8.0
57,1972-12-27,7.7
58,1973-02-27,8.0
59,1973-03-26,8.2
60,1973-04-19,8.5
61,1973-05-07,8.2
62,1973-05-25,8.5
63,1973-06-07,8.7
64,1973-06-22,9.0
65,1973-07-02,8.5
66,1973-07-09,7.7
67,1973-07-18,7.2
68,1973-07-30,6.7
69,1973-08-06,6.2
70,1973-08-13,6.0
71,1973-08-21,6.5
72,1973-08-28,7.5
73,1973-09-18,8.0
74,1973-10-23,8.5
75,1973-10-29,9.0
76,1973-12-03,9.0
77,1974-01-29,9.5
78,1974-02-11,10.0
79,1974-02-19,10.5
80,1974-02-25,11.0
81,1974-03-22,11.5
82,1974-04-01,11.0
83,1974-04-04,10.5
84,1974-04-08,10.0
85,1974-04-11,9.5
86,1974-04-22,9.0
87,1974-04-25,8.5
88,1974-05-02,8.7
89,1974-05-07,9.0
90,1974-05-10,9.2
91,1974-05-17,8.7
92,1974-06-27,8.2
93,1974-07-08,8.0
94,1974-10-08,7.7
95,1974-10-22,7.5
96,1974-11-06,8.0
97,1974-11-13,8.5
98,1974-11-25,9.0
99,1975-01-09,9.5
100,1975-01-15,10.0
101,1975-01-28,10.5
102,1975-02-10,10.7
103,1975-02-24,11.2
104,1975-03-10,11.5
105,1975-03-24,12.5
106,1975-06-09,12.0
107,1975-07-29,12.7
108,1975-09-12,13.0
109,1975-11-07,12.5
110,1976-01-12,12.0
111,1976-06-01,11.5
112,1976-08-03,11.0
