Month,Prime Rate
"January, 1990",10.11
"February, 1990",10
"March 1, 1990",10
"April 1, 1990",10
"May 1, 1990",10
"June 1, 1990",10
"July 1, 1990",10
"August 1, 1990",10
"September 1, 1990",10
"October 1, 1990",10
"November 1, 1990",10
"December 1, 1990",10
"January 1, 1991",9.52
"February 1, 1991",9.05
"March 1, 1991",9
"April 1, 1991",9
"May 1, 1991",8.5
"June 1, 1991",8.5
"July 1, 1991",8.5
"August 1, 1991",8.5
"September 1, 1991",8.2
"October 1, 1991",8
"November 1, 1991",7.58
"December 1, 1991",7.21
"January 1, 1992",6.5
"February 1, 1992",6.5
"March 1, 1992",6.5
"April 1, 1992",6.5
"May 1, 1992",6.5
"June 1, 1992",6.5
"July 1, 1992",6.02
"August 1, 1992",6
"September 1, 1992",6
"October 1, 1992",6
"November 1, 1992",6
"December 1, 1992",6
"January 1, 1993",6
"February 1, 1993",6
"March 1, 1993",6
"April 1, 1993",6
"May 1, 1993",6
"June 1, 1993",6
"July 1, 1993",6
"August 1, 1993",6
"September 1, 1993",6
"October 1, 1993",6
"November 1, 1993",6
"December 1, 1993",6
"January 1, 1994",6
"February 1, 1994",6
"March 1, 1994",6.06
"April 1, 1994",6.45
"May 1, 1994",6.99
"June 1, 1994",7.25
"July 1, 1994",7.25
"August 1, 1994",7.51
"September 1, 1994",7.75
"October 1, 1994",7.75
"November 1, 1994",8.15
"December 1, 1994",8.5
"January 1, 1995",8.5
"February 1, 1995",9
"March 1, 1995",9
"April 1, 1995",9
"May 1, 1995",9
"June 1, 1995",9
"July 1, 1995",8.8
"August 1, 1995",8.75
"September 1, 1995",8.75
"October 1, 1995",8.75
"November 1, 1995",8.75
"December 1, 1995",8.65
"January 1, 1996",8.5
"February 1, 1996",8.25
"March, 1996",8.25
"April 1, 1996",8.25
"May 1, 1996",8.25
"June 1, 1996",8.25
"July, 1996",8.25
"August, 1996",8.25
"September, 1996",8.25
"October, 1996",8.25
"November, 1996",8.25
"December, 1996",8.25
"January, 1997",8.25
"February, 1997",8.25
"March, 1997",8.3
"April, 1997",8.5
"May, 1997",8.5
"June, 1997",8.5
"July, 1997",8.5
"August, 1997",8.5
"September, 1997",8.5
"October, 1997",8.5
"November, 1997",8.5
"December, 1997",8.5
"January, 1998",8.5
"February, 1998",8.5
"March, 1998",8.5
"April, 1998",8.5
"May, 1998",8.5
"June, 1998",8.5
"July, 1998",8.5
"August, 1998",8.5
"September, 1998",8.49
"October, 1998",8.12
"November, 1998",7.89
"December, 1998",7.75
"January, 1999",7.75
"February, 1999",7.75
"March, 1999",7.75
"April, 1999",7.75
"May, 1999",7.75
"June, 1999",7.75
"July, 1999",8
"August, 1999",8.06
"September, 1999",8.25
"October, 1999",8.25
"November, 1999",8.37
"December, 1999",8.5
"January, 2000",8.5
"February, 2000",8.73
"March, 2000",8.83
"April, 2000",9
"May, 2000",9.24
"June, 2000",9.5
"July, 2000",9.5
"August, 2000",9.5
"September, 2000",9.5
"October, 2000",9.5
"November, 2000",9.5
"December, 2000",9.5
"January, 2001",9.05
"February, 2001",8.5
"March, 2001",8.32
"April, 2001",7.8
"May, 2001",7.24
"June, 2001",6.98
"July, 2001",6.75
"August, 2001",6.67
"September, 2001",6.28
"October, 2001",5.53
"November, 2001",5.1
"December, 2001",4.84
"January, 2002",4.75
"February, 2002",4.75
"March, 2002",4.75
"April, 2002",4.75
"May, 2002",4.75
"June, 2002",4.75
"July, 2002",4.75
"August, 2002",4.75
"September, 2002",4.75
"October, 2002",4.75
"November, 2002",4.35
"December, 2002",4.25
"January, 2003",4.25
"February, 2003",4.25
"March, 2003",4.25
"April, 2003",4.25
"May, 2003",4.25
"June, 2003",4.22
"July, 2003",4
"August, 2003",4
"September, 2003",4
"October, 2003",4
"November, 2003",4
"December, 2003",4
"January, 2004",4
"February, 2004",4
"March, 2004",4
"April, 2004",4
"May, 2004",4
"June, 2004",4.01
"July, 2004",4.25
"August, 2004",4.43
"September, 2004",4.58
"October, 2004",4.75
"November, 2004",4.93
"December, 2004",5.15
"January, 2005",5.25
"February, 2005",5.49
"March, 2005",5.58
"April, 2005",5.75
"May, 2005",5.98
"June, 2005",6.01
"July, 2005",6.25
"August, 2005",6.44
"September, 2005",6.59
"October, 2005",6.75
"November, 2005",7
"December, 2005",7.15
"January, 2006",7.26
"February, 2006",7.5
"March, 2006",7.53
"April, 2006",7.75
"May, 2006",7.93
"June, 2006",8.02
"July, 2006",8.25
"August, 2006",8.25
"September, 2006",8.25
"October, 2006",8.25
"November, 2006",8.25
"December, 2006",8.25
"January, 2007",8.25
"February, 2007",8.25
"March, 2007",8.25
"April, 2007",8.25
"May, 2007",8.25
"June, 2007",8.25
"July, 2007",8.25
"August, 2007",8.25
"September, 2007",8.03
"October, 2007",7.74
"November, 2007",7.5
"December, 2007",7.33
"January, 2008",6.98
"February, 2008",6
"March, 2008",5.66
"April, 2008",5.24
"May, 2008",5
"June, 2008",5
"July, 2008",5
"August, 2008",5
"September, 2008",5
"October, 2008",4.56
"November, 2008",4
"December, 2008",3.61
"January, 2009",3.25
"February, 2009",3.25
"March, 2009",3.25
"April, 2009",3.25
"May, 2009",3.25
"June, 2009",3.25
"July, 2009",3.25
"August, 2009",3.25
"September, 2009",3.25
"October, 2009",3.25
"November, 2009",3.25
"December, 2009",3.25
"January, 2010",3.25
"February, 2010",3.25
"March, 2010",3.25
"April, 2010",3.25
"May, 2010",3.25
"June, 2010",3.25
"July, 2010",3.25
"August, 2010",3.25
"September, 2010",3.25
"October, 2010",3.25
"November, 2010",3.25
"December, 2010",3.25
"January, 2011",3.25
"February, 2011",3.25
"March, 2011",3.25
"April, 2011",3.25
"May, 2011",3.25
"June, 2011",3.25
"July, 2011",3.25
"August, 2011",3.25
"September, 2011",3.25
"October, 2011",3.25
"November, 2011",3.25
"December, 2011",3.25
"January, 2012",3.25
"February, 2012",3.25
"March, 2012",3.25
"April, 2012",3.25
"May, 2012",3.25
"June, 2012",3.25
"July, 2012",3.25
"August, 2012",3.25
"September, 2012",3.25
"October, 2012",3.25
"November, 2012",3.25
"December, 2012",3.25
"January, 2013",3.25
"February, 2013",3.25
"March, 2013",3.25
"April, 2013",3.25
"May, 2013",3.25
"June, 2013",3.25
"July, 2013",3.25
"August, 2013",3.25
"September, 2013",3.25
"October, 2013",3.25
"November, 2013",3.25
"December, 2013",3.25
"January, 2014",3.25
"February, 2014",3.25
"March, 2014",3.25
"April, 2014",3.25
"May, 2014",3.25
"June, 2014",3.25
"July, 2014",3.25
"August, 2014",3.25
"September, 2014",3.25
"October, 2014",3.25
"November, 2014",3.25
"December, 2014",3.25
"January, 2015",3.25
"February, 2015",3.25
"March, 2015",3.25
"April, 2015",3.25
"May, 2015",3.25
"June, 2015",3.25
"July, 2015",3.25
"August, 2015",3.25
"September, 2015",3.25
"October, 2015",3.25
"November, 2015",3.25
"December, 2015",3.37
"January, 2016",3.5
"February, 2016",3.5
"March, 2016",3.5
"April, 2016",3.5
"May, 2016",3.5
"June, 2016",3.5
"July, 2016",3.5
"August, 2016",3.5
"September, 2016",3.5
"October, 2016",3.5
"November, 2016",3.5
"December, 2016",3.64
"January, 2017",3.75
"February, 2017",3.75
"March, 2017",3.88
"April, 2017",4
"May, 2017",4
"June, 2017",4.13
"July, 2017",4.25
"August, 2017",4.25
"September, 2017",4.25
"October, 2017",4.25
"November, 2017",4.25
"December, 2017",4.395
Date (Month),Rate (%)
"January, 2018",4.5
"February, 2018",4.5
"March, 2018",4.58
"April, 2018",4.75
"May, 2018",4.75
"June, 2018",4.89
"July, 2018",5
"August, 2018",5
"September, 2018",5.03
"October, 2018",5.25
"November, 2018",5.25
