,date,rate
0,1947-12-01,1.75
1,1948-08-01,2
2,1950-09-22,2.25
3,1951-01-08,2.5
4,1951-10-17,2.75
5,1951-12-19,3
6,1953-04-27,3.25
7,1954-03-17,3
8,1955-08-04,3.25
9,1955-10-14,3.5
10,1956-04-13,3.75
11,1956-08-21,4
12,1957-08-06,4.5
13,1958-01-22,4
14,1958-04-21,3.5
15,1958-09-11,4
16,1959-05-18,4.5
17,1959-09-01,5
18,1960-08-23,4.5
19,1965-12-06,5
20,1966-03-10,5.5
21,1966-06-29,5.75
22,1966-08-16,6
23,1967-01-26,5.75
24,1967-03-27,5.5
25,1967-11-20,6
26,1968-04-19,6.5
27,1968-09-25,6.25
28,1968-12-02,6.5
29,1968-12-18,6.75
30,1969-01-07,7
31,1969-03-17,7.5
32,1969-06-09,8.5
33,1970-03-25,8
34,1970-09-21,7.5
35,1970-11-12,7.25
36,1970-11-23,7
37,1970-12-22,6.75
38,1971-01-06,6.5
39,1971-01-15,6.25
40,1971-01-18,6
41,1971-02-16,5.75
42,1971-03-11,5.5
43,1971-03-19,5.25
44,1971-04-23,5.5
45,1971-07-07,6
46,1971-10-20,5.75
47,1971-11-08,5.5
48,1971-12-17,5.25
49,1972-01-03,5
50,1972-01-18,4.75
51,1972-02-16,4.5
52,1972-03-20,4.75
53,1972-03-31,5
54,1972-06-27,5.25
55,1972-08-29,5.5
56,1972-10-03,5.75
57,1972-12-27,6
58,1973-02-27,6.25
59,1973-03-26,6.5
60,1973-04-19,6.75
61,1973-05-07,7
62,1973-05-25,7.25
63,1973-06-07,7.5
64,1973-06-22,7.75
65,1973-07-02,8
66,1973-07-09,8.25
67,1973-07-18,8.5
68,1973-07-30,8.75
69,1973-08-06,9
70,1973-08-13,9.25
71,1973-08-21,9.5
72,1973-08-28,9.75
73,1973-09-18,10
74,1973-10-23,9.75
75,1973-10-29,9.5
76,1973-12-03,9.75
77,1974-01-29,9.5
78,1974-02-11,9.25
79,1974-02-19,9
80,1974-02-25,8.75
81,1974-03-22,9
82,1974-04-01,9.25
83,1974-04-04,9.5
84,1974-04-08,9.75
85,1974-04-11,10
86,1974-04-22,10.25
87,1974-04-25,10.5
88,1974-05-02,10.75
89,1974-05-07,11
90,1974-05-10,11.25
91,1974-05-17,11.5
92,1974-06-27,11.75
93,1974-07-08,12
94,1974-10-08,11.75
95,1974-10-22,11.25
96,1974-11-06,11
97,1974-11-13,10.75
98,1974-11-25,10.25
99,1975-01-09,10.25
100,1975-01-15,
101,1975-01-28,
102,1975-02-10,
103,1975-02-24,
104,1975-03-10,
105,1975-03-24,
106,1975-06-09,
107,1975-07-29,
108,1975-09-12,
109,1975-11-07,
110,1976-01-12,
111,1976-06-01,
112,1976-08-03,
113,1976-11-01,
114,1977-05-13,
115,1977-08-22,
116,1977-10-07,
117,1978-01-10,
118,1978-05-26,
119,1978-07-30,
120,1978-09-15,
121,1978-10-13,
122,1978-11-01,
123,1978-11-17,
124,1978-12-26,
125,1979-07-27,
126,1979-08-28,
127,1979-09-14,
128,1979-09-28,
129,1979-10-23,
130,1979-11-09,
131,1979-11-30,
132,1980-02-19,
133,1980-02-29,
134,1980-03-07,
135,1980-03-19,
136,1980-04-02,
137,1980-05-01,
138,1980-05-16,
139,1980-05-30,
140,1980-06-13,
141,1980-07-07,
142,1980-08-22,
143,1980-09-08,
144,1980-09-19,
145,1980-10-01,
146,1980-10-29,
147,1980-11-17,
148,1980-11-26,
149,1980-12-05,
150,1980-12-16,
151,1981-01-02,
152,1981-02-03,
153,1981-03-10,
154,1981-04-02,
155,1981-04-30,
156,1981-05-11,
157,1981-05-22,
158,1981-07-08,
159,1981-10-05,
160,1981-11-03,
161,1981-11-16,
162,1981-12-03,
163,1982-02-18,
164,1982-07-20,
165,1982-08-02,
166,1982-08-18,
167,1982-10-07,
168,1982-11-22,
169,1983-02-21,
170,1984-03-19,
171,1984-05-08,
172,1984-09-27,
173,1984-10-24,
174,1984-11-28,
175,1985-01-15,
176,1985-06-18,
177,1986-04-21,
178,1986-08-26,
179,1987-05-01,
180,1987-09-04,
181,1987-10-22,
182,1988-02-02,
183,1988-07-14,
184,1988-11-28,
185,1989-02-24,
186,1989-07-31,
187,1991-01-02,
188,1991-05-01,
189,1991-11-06,
190,1992-07-02,
191,1994-03-24,
192,1994-04-19,
193,1994-08-16,
194,1995-02-01,9.00
195,1995-07-07,8.75
196,1995-12-20,8.50
197,1996-01-31,8.25
198,1997-03-27,8.50
199,1998-09-30,8.25
200,1998-10-16,8.00
201,1998-11-18,7.75
202,1999-07-01,8.00
203,1999-08-25,8.25
204,1999-11-17,8.50
205,2000-02-03,8.75
206,2000-03-22,9.00
207,2000-05-17,9.50
208,2001-01-04,9.00
209,2001-02-01,8.50
210,2001-03-21,8.00
211,2001-04-19,7.50
212,2001-05-16,7.00
213,2001-06-28,6.75
214,2001-08-22,6.50
215,2001-09-18,6.00
216,2001-10-03,5.50
217,2001-11-07,5.00
218,2001-12-12,4.75
219,2002-11-07,4.25
220,2003-06-27,4.00
221,2004-07-01,4.25
222,2004-08-11,4.50
223,2004-09-21,4.75
224,2004-11-10,5.00
225,2004-12-14,5.25
226,2005-02-02,5.50
227,2005-03-22,5.75
228,2005-05-03,6.00
229,2005-06-30,6.25
230,2005-08-09,6.50
231,2005-09-20,6.75
232,2005-11-01,7.00
233,2005-12-13,7.25
234,2006-01-31,7.50
235,2006-03-28,7.75
236,2006-05-10,8.00
237,2006-06-29,8.25
238,2007-09-18,7.75
239,2007-10-31,7.50
240,2007-12-11,7.25
241,2008-01-22,6.50
242,2008-01-30,6.00
243,2008-03-18,5.25
244,2008-04-30,5.00
245,2008-10-08,4.50
246,2008-10-29,4.00
247,2008-12-16,3.25
248,2015-12-17,3.5
249,2016-12-15,3.75
250,2017-03-16,4.00
251,2017-06-15,4.25
252,2017-12-14,4.50
253,2018-03-22,4.75
254,2018-06-14,5.00
255,2018-09-27,5.25
256,2018-12-20,5.5
